Gene stable ID	Transcript stable ID	Transcript start (bp)	Transcript end (bp)	Transcription start site (TSS)	Transcript length (including UTRs and CDS)	Strand	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene % GC content	Gene name	Gene type
YBR024W	YBR024W_mRNA	289445	290350	289445	906	1	289445	290350	II	39.96	SCO2	protein_coding
YDL245C	YDL245C_mRNA	11657	13360	13360	1704	-1	11657	13360	IV	41.90	HXT15	protein_coding
YBR232C	YBR232C_mRNA	683373	683732	683732	360	-1	683373	683732	II	44.17		protein_coding
YDR320W-B	YDR320W-B_mRNA	1108484	1108621	1108484	138	1	1108484	1108621	IV	34.78		protein_coding
YBR021W	YBR021W_mRNA	281443	283344	281443	1902	1	281443	283344	II	39.91	FUR4	protein_coding
YGR014W	YGR014W_mRNA	516943	520863	516943	3921	1	516943	520863	VII	43.76	MSB2	protein_coding
tT(AGU)O2	tT(AGU)O2_tRNA	354041	354113	354113	73	-1	354041	354113	XV	47.95		tRNA
YKL119C	YKL119C_mRNA	218570	219217	219217	648	-1	218570	219217	XI	36.27	VPH2	protein_coding
YPR031W	YPR031W_mRNA	631515	633761	631515	2247	1	631515	633761	XVI	36.98	NTO1	protein_coding
YKL066W	YKL066W_mRNA	315281	315724	315281	444	1	315281	315724	XI	38.74		protein_coding
YJL076W	YJL076W_mRNA	295245	298814	295245	3570	1	295245	298814	X	41.40	NET1	protein_coding
YPL174C	YPL174C_mRNA	220167	222773	222773	2607	-1	220167	222773	XVI	34.48	NIP100	protein_coding
YIL003W	YIL003W_mRNA	349122	350003	349122	882	1	349122	350003	IX	41.72	CFD1	protein_coding
YML066C	YML066C_mRNA	140424	141533	141533	1110	-1	140424	141533	XIII	40.27	SMA2	protein_coding
YMR129W	YMR129W_mRNA	527804	531817	527804	4014	1	527804	531817	XIII	36.52	POM152	protein_coding
YBR140C	YBR140C_mRNA	517350	526628	526628	9279	-1	517350	526628	II	36.19	IRA1	protein_coding
YGR242W	YGR242W_mRNA	976415	976723	976415	309	1	976415	976723	VII	42.39		protein_coding
YKR047W	YKR047W_mRNA	525257	525562	525257	306	1	525257	525562	XI	43.46		protein_coding
YKL029C	YKL029C_mRNA	382716	384725	384725	2010	-1	382716	384725	XI	47.21	MAE1	protein_coding
YLR154C-G	YLR154C-G_mRNA	462522	462671	462671	150	-1	462522	462671	XII	56.67		protein_coding
YPL028W	YPL028W_mRNA	498096	499292	498096	1197	1	498096	499292	XVI	44.11	ERG10	protein_coding
YDL235C	YDL235C_mRNA	33415	33918	33918	504	-1	33415	33918	IV	35.52	YPD1	protein_coding
tR(ACG)E	tR(ACG)E_tRNA	492352	492424	492424	73	-1	492352	492424	V	58.90		tRNA
YER091C	YER091C_mRNA	339864	342167	342167	2304	-1	339864	342167	V	41.71	MET6	protein_coding
YMR121C	YMR121C_mRNA	509734	510348	510348	615	-1	509734	510348	XIII	44.23	RPL15B	protein_coding
YDR356W	YDR356W_mRNA	1186107	1188941	1186107	2835	1	1186107	1188941	IV	34.25	SPC110	protein_coding
YDR337W	YDR337W_mRNA	1146319	1147179	1146319	861	1	1146319	1147179	IV	38.79	MRPS28	protein_coding
YKL008C	YKL008C_mRNA	427295	428551	428551	1257	-1	427295	428551	XI	37.07	LAC1	protein_coding
YER055C	YER055C_mRNA	264892	265785	265785	894	-1	264892	265785	V	40.83	HIS1	protein_coding
YFR004W	YFR004W_mRNA	153393	154313	153393	921	1	153393	154313	VI	41.04	RPN11	protein_coding
YDR108W	YDR108W_mRNA	671269	673365	671269	2097	1	671269	673365	IV	37.15	TRS85	protein_coding
YDL200C	YDL200C_mRNA	100501	101067	101067	567	-1	100501	101067	IV	37.04	MGT1	protein_coding
YJR134C	YJR134C_mRNA	673729	675852	675852	2124	-1	673729	675852	X	35.55	SGM1	protein_coding
Q0158	Q0158_rRNA	58009	62447	58009	3296	1	58009	62447	Mito	21.22	21S_RRNA	rRNA
YMR135C	YMR135C_mRNA	538689	540056	540056	1368	-1	538689	540056	XIII	41.81	GID8	protein_coding
YGR012W	YGR012W_mRNA	513159	514340	513159	1182	1	513159	514340	VII	42.72	MCY1	protein_coding
YNL244C	YNL244C_mRNA	187170	187496	187496	327	-1	187170	187496	XIV	38.84	SUI1	protein_coding
YCR024C-A	YCR024C-A_mRNA	162945	163067	163067	123	-1	162945	163067	III	35.77	PMP1	protein_coding
YOR027W	YOR027W_mRNA	381053	382822	381053	1770	1	381053	382822	XV	41.69	STI1	protein_coding
YBL101C	YBL101C_mRNA	24946	28299	28299	3354	-1	24946	28299	II	41.41	ECM21	protein_coding
YLL040C	YLL040C_mRNA	54211	63645	63645	9435	-1	54211	63645	XII	37.56	VPS13	protein_coding
YDR181C	YDR181C_mRNA	825910	827355	827355	1446	-1	825910	827355	IV	37.48	SAS4	protein_coding
YML116W-A	YML116W-A_mRNA	37472	37774	37472	303	1	37472	37774	XIII	44.55		protein_coding
